MTime;Miner;Message;BlockNr;Hash
10-24-12:31:15.499;miner7;🔨 mined potential block                 ;270;4397c6…0a7396
10-24-12:31:15.914;miner1;🔨 mined potential block                 ;270;1d033c…940c70
10-24-12:31:16.547;miner3;🔨 mined potential block                 ;270;5421bd…3954a5
10-24-12:31:17.015;miner2;🔨 mined potential block                 ;270;b9f9a3…137fd8
10-24-12:31:17.637;miner9;🔨 mined potential block                 ;271;13d0e7…9702b2
10-24-12:31:18.167;miner4;🔨 mined potential block                 ;272;02585b…3bccff
10-24-12:31:19.205;miner8;🔨 mined potential block                 ;273;5cf86b…8682d9
10-24-12:31:19.255;miner5;🔨 mined potential block                 ;274;6acf06…1508dc
10-24-12:31:20.944;miner4;🔨 mined potential block                 ;274;653163…863108
10-24-12:31:21.476;miner2;🔨 mined potential block                 ;275;18c3de…3c5514
10-24-12:31:21.950;miner7;🔨 mined potential block                 ;276;65e400…5efc1e
10-24-12:31:22.060;miner1;🔨 mined potential block                 ;277;bb3707…ee9f30
10-24-12:31:24.510;miner5;🔨 mined potential block                 ;278;75e1fa…a7ee0d
10-24-12:31:24.676;miner4;🔨 mined potential block                 ;279;b1ad02…79f8fb
10-24-12:31:26.350;miner7;🔨 mined potential block                 ;279;f692d6…226951
10-24-12:31:27.420;miner9;🔨 mined potential block                 ;280;a4e402…b29147
10-24-12:31:28.149;miner4;🔨 mined potential block                 ;281;df0a80…b7de15
10-24-12:31:28.538;miner8;🔨 mined potential block                 ;282;c2cb5d…464de4
10-24-12:31:28.634;miner2;🔨 mined potential block                 ;283;6b8b90…0a125c
10-24-12:31:29.146;miner10;🔨 mined potential block                 ;283;4b1504…790296
10-24-12:31:30.104;miner8;🔨 mined potential block                 ;283;834621…e16d89
10-24-12:31:30.348;miner3;🔨 mined potential block                 ;283;3517e8…a9b016
10-24-12:31:31.615;miner1;🔨 mined potential block                 ;284;ed16d2…34f7c7
10-24-12:31:32.214;miner9;🔨 mined potential block                 ;285;501a19…0d6651
